genus,genus_class,accession,organism_name,named_species,assembly_level,total_length,max_ani_same_genus,align_frac_query_same_genus,closest_training_ref_same_genus,level,cross_genus_leak,keep,max_ani_any_genus,closest_training_ref_any_genus,closest_training_genus_any,audit_ani_same_genus_minaf0,audit_align_frac_minaf0
Acinetobacter,2,GCF_000196795.1,Acinetobacter oleivorans DR1,True,Complete Genome,4152543,,,,L2_far,0,1,,,,82.26,2.2
Acinetobacter,2,GCF_002370525.2,Acinetobacter guillouiae,True,Complete Genome,4648418,,,,L2_far,0,1,,,,82.85,1.12
Acinetobacter,2,GCF_009035845.1,Acinetobacter baumannii,True,Complete Genome,3999136,,,,L2_far,0,1,,,,82.77,1.91
Acinetobacter,2,GCF_009884975.1,Acinetobacter dispersus,True,Complete Genome,4024840,82.86,13.17,GCF_000162075,L2_species,0,1,82.86,GCF_000162075,Acinetobacter,82.86,13.17
Acinetobacter,2,GCF_013122135.1,Acinetobacter lactucae,True,Complete Genome,3973648,,,,L2_far,0,1,,,,82.25,1.98
Acinetobacter,2,GCF_016064815.1,Acinetobacter seifertii,True,Complete Genome,4070688,,,,L2_far,0,1,,,,82.45,1.94
Acinetobacter,2,GCF_016576965.1,Acinetobacter bereziniae,True,Complete Genome,4729151,,,,L2_far,0,1,,,,81.85,1.44
Acinetobacter,2,GCF_041021905.1,Acinetobacter nosocomialis,True,Complete Genome,4101087,,,,L2_far,0,1,,,,84.31,2.19
Actinomyces,3,GCF_004102025.1,Actinomyces qiguomingii,True,Complete Genome,3988549,,,,L2_far,0,1,,,,93.81,0.09
Actinomyces,3,GCF_004798665.1,Actinomyces procaprae,True,Complete Genome,3600355,,,,L2_far,0,1,,,,93.51,0.1
Actinomyces,3,GCF_016127855.1,Actinomyces naeslundii,True,Complete Genome,3152123,90.16,58.25,20298_3_21,L2_species,0,1,90.16,20298_3_21,Actinomyces,98.79,0.09
Actinomyces,3,GCF_016127955.1,Actinomyces oris,True,Complete Genome,3190396,88.33,44.63,20298_3_21,L2_species,0,1,88.33,20298_3_21,Actinomyces,98.1,0.05
Actinomyces,3,GCF_019974135.1,Actinomyces capricornis,True,Complete Genome,3170963,,,,L2_far,0,1,,,,96.65,0.05
Actinomyces,3,GCF_030253495.1,Actinomyces israelii,True,Complete Genome,3980311,,,,L2_far,0,1,,,,90.58,0.05
Actinomyces,3,GCF_900637295.1,Actinomyces slackii,True,Complete Genome,3220508,,,,L2_far,0,1,,,,93.71,0.11
Actinomyces,3,GCF_900637975.1,Actinomyces viscosus,True,Complete Genome,3491241,90.02,51.97,20298_3_21,L2_species,0,1,90.02,20298_3_21,Actinomyces,93.99,0.1
Adlercreutzia,4,GCF_000478885.1,Adlercreutzia equolifaciens DSM 19450,True,Complete Genome,2862526,93.93,59.97,UMGS479,L2_species,0,1,93.93,UMGS479,Adlercreutzia,93.93,59.97
Adlercreutzia,4,GCF_011405655.2,Adlercreutzia hattorii,True,Complete Genome,2908404,96.07,66.26,UMGS479,L1_strain,0,1,96.07,UMGS479,Adlercreutzia,96.07,66.26
Aeromonas,5,GCF_000014805.1,Aeromonas hydrophila subsp. hydrophila ATCC 7966,True,Complete Genome,4744448,89.19,48.16,UMGS205,L2_species,0,1,89.19,UMGS205,Aeromonas,89.19,48.16
Aeromonas,5,GCF_002285935.1,Aeromonas dhakensis,True,Complete Genome,4868053,89.02,47.08,UMGS205,L2_species,0,1,89.02,UMGS205,Aeromonas,89.02,47.08
Aeromonas,5,GCF_028355655.1,Aeromonas salmonicida,True,Complete Genome,4954811,85.83,30.61,UMGS205,L2_species,0,1,85.83,UMGS205,Aeromonas,85.83,30.61
Aeromonas,5,GCF_028751155.1,Aeromonas bestiarum,True,Complete Genome,4751295,87.05,39.74,UMGS205,L2_species,0,1,87.05,UMGS205,Aeromonas,87.05,39.74
Aeromonas,5,GCF_037818705.1,Aeromonas popoffii,True,Complete Genome,4889561,85.45,29.34,UMGS205,L2_species,0,1,85.45,UMGS205,Aeromonas,85.45,29.34
Aeromonas,5,GCF_044336385.1,Aeromonas mytilicola subsp. aquatica,True,Complete Genome,4681979,89.7,60.03,UMGS205,L2_species,0,1,89.7,UMGS205,Aeromonas,89.7,60.03
Aeromonas,5,GCF_049665575.1,Aeromonas oralensis,True,Complete Genome,4784854,88.81,47.37,UMGS205,L2_species,0,1,88.81,UMGS205,Aeromonas,88.81,47.37
Aeromonas,5,GCF_053714435.1,Aeromonas piscicola,True,Complete Genome,5137694,86.74,34.6,UMGS205,L2_species,0,1,86.74,UMGS205,Aeromonas,86.74,34.6
Akkermansia,6,GCF_009731575.1,Akkermansia muciniphila,True,Complete Genome,2878459,81.95,15.34,UMGS181,L2_species,0,1,81.95,UMGS181,Akkermansia,81.95,15.34
Akkermansia,6,GCF_018847195.1,Akkermansia massiliensis,True,Complete Genome,3309705,84.36,25.38,UMGS181,L2_species,0,1,84.36,UMGS181,Akkermansia,97.29,0.62
Akkermansia,6,GCF_026072915.1,Akkermansia biwaensis,True,Complete Genome,3175525,99.97,92.73,UMGS181,L0_dup,0,0,99.97,UMGS181,Akkermansia,99.97,92.73
Akkermansia,6,GCF_029854705.2,Akkermansia sp. N21116,False,Complete Genome,3497179,99.98,92.63,UMGS750,L0_dup,0,0,99.98,UMGS750,Akkermansia,99.98,92.63
Akkermansia,6,GCF_031344955.1,Akkermansia sp. EB-AMDK43,False,Complete Genome,3208499,84.37,26.16,UMGS181,L2_species,0,1,84.37,UMGS181,Akkermansia,97.29,0.64
Akkermansia,6,GCF_036417355.1,Akkermansia sp. RCC_12PD,False,Complete Genome,3168262,99.18,90.96,UMGS141,L0_dup,0,0,99.18,UMGS141,Akkermansia,99.18,90.96
Akkermansia,6,GCF_049262625.1,Akkermansia sp. JRP_AM1,False,Complete Genome,3239103,84.44,25.82,UMGS181,L2_species,0,1,84.44,UMGS181,Akkermansia,97.23,0.63
Akkermansia,6,GCF_900097105.1,Akkermansia glycaniphila,True,Complete Genome,3074078,,,,L2_far,0,1,,,,79.71,0.45
Alistipes,7,GCF_006542645.1,Alistipes onderdonkii subsp. vulgaris,True,Complete Genome,3507492,97.97,78.53,14207_7_70,L1_strain,0,1,97.97,14207_7_70,Alistipes,97.97,78.53
Alistipes,7,GCF_006542665.1,Alistipes communis,True,Complete Genome,3301347,98.74,82.47,GCF_000311925,L1_strain,0,1,98.74,GCF_000311925,Alistipes,98.74,82.47
Alistipes,7,GCF_006542685.1,Alistipes dispar,True,Complete Genome,2962376,99.08,87.23,UMGS50,L0_dup,0,0,99.08,UMGS50,Alistipes,99.08,87.23
Alistipes,7,GCF_020735725.1,Alistipes senegalensis,True,Complete Genome,4023294,100.0,99.59,GCF_000312145,L0_dup,0,0,100.0,GCF_000312145,Alistipes,100.0,99.59
Alistipes,7,GCF_022846055.1,Alistipes finegoldii,True,Complete Genome,4117255,84.67,13.82,11861_6_63,L2_species,0,1,84.67,11861_6_63,Alistipes,99.69,0.28
Alistipes,7,GCF_025144665.1,Alistipes ihumii AP11,True,Complete Genome,2780015,100.0,98.97,GCF_000321205,L0_dup,0,0,100.0,GCF_000321205,Alistipes,100.0,98.97
Alistipes,7,GCF_025144995.1,Alistipes indistinctus YIT 12060,True,Complete Genome,2857445,100.0,99.91,GCF_000231275,L0_dup,0,0,100.0,GCF_000231275,Alistipes,100.0,99.91
Alistipes,7,GCF_025145845.1,Alistipes shahii WAL 8301,True,Complete Genome,3809618,98.52,67.08,11861_6_63,L1_strain,0,1,98.52,11861_6_63,Alistipes,100.0,0.03
Anaerococcus,8,GCF_000024105.1,Anaerococcus prevotii DSM 20548,True,Complete Genome,1998633,,,,L2_far,0,1,,,,88.67,0.47
Anaerococcus,8,GCF_016127475.1,Anaerococcus vaginalis,True,Complete Genome,1893964,90.45,24.66,UMGS1965,L2_species,0,1,90.45,UMGS1965,Anaerococcus,95.48,0.22
Anaerococcus,8,GCF_016599815.1,Anaerococcus obesiensis,True,Complete Genome,1894618,90.51,25.11,UMGS1965,L2_species,0,1,90.51,UMGS1965,Anaerococcus,90.51,25.11
Anaerococcus,8,GCF_040364225.1,Anaerococcus nagyae,True,Complete Genome,1891834,99.0,81.54,UMGS594,L0_dup,0,0,99.0,UMGS594,Anaerococcus,99.0,81.54
Anaerococcus,8,GCF_043187475.1,Anaerococcus cruorum,True,Complete Genome,1641602,85.23,35.48,UMGS343,L2_species,0,1,85.23,UMGS343,Anaerococcus,88.74,0.08
Anaerococcus,8,GCF_043187485.1,Anaerococcus martiniensis,True,Complete Genome,1616208,88.77,55.03,UMGS343,L2_species,0,1,88.77,UMGS343,Anaerococcus,88.77,55.03
Anaerococcus,8,GCF_058182085.1,Anaerococcus octavius,True,Complete Genome,1855969,84.05,25.04,UMGS343,L2_species,0,1,84.05,UMGS343,Anaerococcus,90.71,0.23
Anaerococcus,8,GCF_949769285.1,Anaerococcus sp. Marseille-Q7828,False,Complete Genome,1946085,,,,L2_far,0,1,,,,88.78,2.62
Anaerofustis,9,GCF_000154825.1,Anaerofustis stercorihominis DSM 17244,True,Scaffold,2284703,89.73,59.24,UMGS1233,L2_species,0,1,89.73,UMGS1233,Anaerofustis,89.73,59.24
Anaeromassilibacillus,10,GCF_001261775.1,Anaeromassilibacillus senegalensis,True,Scaffold,3511751,,,,L2_far,0,1,,,,95.72,0.08
Anaeromassilibacillus,10,GCF_015554745.1,Anaeromassilibacillus sp. 1001302B_160321_C8,False,Scaffold,3007086,98.82,80.88,UMGS41,L1_strain,0,1,98.82,UMGS41,Anaeromassilibacillus,98.82,80.88
Anaeromassilibacillus,10,GCF_015558525.1,Anaeromassilibacillus sp. D41t1_190614_C2,False,Scaffold,3107887,98.77,80.02,UMGS41,L1_strain,0,1,98.77,UMGS41,Anaeromassilibacillus,98.77,80.02
Anaeromassilibacillus,10,GCF_900169665.1,Anaeromassilibacillus sp. Marseille-P3371,False,Scaffold,3545090,99.23,72.42,UMGS220,L0_dup,0,0,99.23,UMGS220,Anaeromassilibacillus,99.23,72.42
Anaerosporobacter,11,GCF_900142955.1,Anaerosporobacter mobilis DSM 15930,True,Scaffold,5217774,95.16,74.03,UMGS935,L1_strain,0,1,95.16,UMGS935,Anaerosporobacter,95.16,74.03
Anaerostipes,12,GCF_005280655.1,Anaerostipes rhamnosivorans,True,Complete Genome,3588860,99.95,90.9,UMGS1268,L0_dup,0,0,99.95,UMGS1268,Anaerostipes,99.95,90.9
Anaerostipes,12,GCF_020181435.1,Anaerostipes caccae,True,Complete Genome,3284789,83.5,15.31,UMGS1268,L2_species,0,1,83.5,UMGS1268,Anaerostipes,83.5,15.31
Anaerostipes,12,GCF_030864025.1,Anaerostipes hadrus,True,Complete Genome,2946270,,,,L2_far,0,1,,,,79.38,0.16
Anaerotignum,13,GCF_001561955.1,Anaerotignum propionicum DSM 1682,True,Complete Genome,3120417,,,,L2_far,0,1,,,,,
Anaerotignum,13,GCF_030908465.1,Anaerotignum sp. MB30-C6,False,Complete Genome,3104838,,,,L2_far,0,1,,,,87.32,0.19
Anaerotruncus,14,GCF_025146135.1,Anaerotruncus colihominis,True,Complete Genome,3563916,,,,L2_far,0,1,,,,79.86,0.91
Atopobium,15,GCF_000364325.1,Atopobium minutum 10063974,True,Scaffold,1706966,,,,L2_far,0,1,,,,,
Atopobium,15,GCF_000411555.1,Atopobium sp. oral taxon 199 str. F0494,False,Scaffold,1665560,,,,L2_far,0,1,,,,86.22,0.63
Atopobium,15,GCF_000466405.1,Atopobium sp. oral taxon 810 str. F0209,False,Scaffold,1947547,,,,L2_far,0,1,,,,,
Atopobium,15,GCF_000483125.1,Atopobium fossor DSM 15642,True,Scaffold,1657369,,,,L2_far,0,1,,,,,
Atopobium,15,GCF_001552785.1,Atopobium deltae,True,Scaffold,1452105,,,,L2_far,0,1,,,,99.83,0.33
Atopobium,15,GCF_018128285.1,Atopobium sp. oral taxon 416,False,Complete Genome,3004013,,,,L2_far,0,1,,,,,
Azospirillum,16,GCF_000632475.1,Azospirillum argentinense,True,Complete Genome,7391279,,,,L2_far,0,1,,,,,
Azospirillum,16,GCF_001305595.1,Azospirillum thiophilum,True,Complete Genome,7609458,,,,L2_far,0,1,,,,,
Azospirillum,16,GCF_003130795.1,Azospirillum thermophilum,True,Complete Genome,6776313,,,,L2_far,0,1,,,,,
Azospirillum,16,GCF_003233655.1,Azospirillum ramasamyi,True,Complete Genome,6316263,,,,L2_far,0,1,,,,,
Azospirillum,16,GCF_013347285.1,Azospirillum oryzae,True,Complete Genome,6809363,,,,L2_far,0,1,,,,,
Azospirillum,16,GCF_022023855.1,Azospirillum brasilense,True,Complete Genome,7389817,,,,L2_far,0,1,,,,,
Azospirillum,16,GCF_040500525.1,Azospirillum formosense,True,Complete Genome,6104586,,,,L2_far,0,1,,,,,
Azospirillum,16,GCF_054959005.1,Azospirillum doebereinerae,True,Complete Genome,7501717,,,,L2_far,0,1,,,,,
Bacillus,17,GCF_006094295.1,Bacillus cereus ATCC 14579,True,Complete Genome,5431377,97.4,85.46,GCF_000238655,L1_strain,0,1,97.4,GCF_000238655,Bacillus,98.3,0.11
Bacillus,17,GCF_008807735.1,Bacillus wiedmannii,True,Complete Genome,5585953,91.6,64.94,GCF_000238655,L2_species,0,1,91.6,GCF_000238655,Bacillus,99.29,0.09
Bacillus,17,GCF_016605985.1,Bacillus toyonensis,True,Complete Genome,5787787,91.6,64.46,GCF_000238655,L2_species,0,1,91.6,GCF_000238655,Bacillus,99.29,0.08
Bacillus,17,GCF_020861345.1,Bacillus pacificus,True,Complete Genome,5594640,91.54,61.78,GCF_000238655,L2_species,0,1,91.54,GCF_000238655,Bacillus,98.26,0.07
Bacillus,17,GCF_030292135.1,Bacillus albus,True,Complete Genome,5889853,91.65,62.63,GCF_000238655,L2_species,0,1,91.65,GCF_000238655,Bacillus,99.29,0.08
Bacillus,17,GCF_031357045.1,Bacillus tropicus,True,Complete Genome,5319187,92.05,69.7,GCF_000238655,L2_species,0,1,92.05,GCF_000238655,Bacillus,99.29,0.09
Bacillus,17,GCF_038096195.1,Bacillus paramobilis,True,Complete Genome,5286002,91.5,66.13,GCF_000238655,L2_species,0,1,91.5,GCF_000238655,Bacillus,99.29,0.1
Bacillus,17,GCF_052947655.1,Bacillus pretiosus,True,Complete Genome,5686534,91.65,65.8,GCF_000238655,L2_species,0,1,91.65,GCF_000238655,Bacillus,99.29,0.09
Bacteroides,18,GCF_001314995.1,Bacteroides ovatus,True,Complete Genome,6472489,97.23,71.17,GCF_000218325,L1_strain,0,1,97.23,GCF_000218325,Bacteroides,100.0,0.04
Bacteroides,18,GCF_012113595.1,Bacteroides faecium,True,Complete Genome,6782182,88.98,27.94,14207_6_13,L2_species,0,1,88.98,14207_6_13,Bacteroides,91.17,0.09
Bacteroides,18,GCF_014131755.1,Bacteroides thetaiotaomicron,True,Complete Genome,6304193,98.36,79.93,20287_6_53,L1_strain,0,1,98.36,20287_6_53,Bacteroides,100.0,0.04
Bacteroides,18,GCF_018289135.1,Bacteroides xylanisolvens,True,Complete Genome,6558523,98.18,71.01,GCF_000162155,L1_strain,0,1,98.18,GCF_000162155,Bacteroides,100.0,0.11
Bacteroides,18,GCF_018292125.1,Bacteroides cellulosilyticus,True,Complete Genome,7271073,98.23,66.03,UMGS1869,L1_strain,0,1,98.23,UMGS1869,Bacteroides,100.0,0.1
Bacteroides,18,GCF_020091505.1,Bacteroides faecis,True,Complete Genome,6352228,99.9,90.12,13470_2_65,L0_dup,0,0,99.9,13470_2_65,Bacteroides,99.9,90.12
Bacteroides,18,GCF_034654355.2,Bacteroides mucinivorans,True,Complete Genome,6061704,95.61,43.37,UMGS2075,L1_strain,0,1,95.61,UMGS2075,Bacteroides,99.82,0.75
Bacteroides,18,GCF_036416795.1,Bacteroides maternus,True,Complete Genome,6440948,95.1,61.21,UMGS1504,L1_strain,0,1,95.1,UMGS1504,Bacteroides,96.16,0.3
Barnesiella,19,GCF_000512915.1,Barnesiella viscericola DSM 18177,True,Complete Genome,3076856,86.26,33.85,UMGS227,L2_species,0,1,86.26,UMGS227,Barnesiella,86.26,33.85
Barnesiella,19,GCF_046603765.1,Barnesiella intestinihominis,True,Complete Genome,3260079,98.8,94.38,21673_4_5,L1_strain,0,1,98.8,21673_4_5,Barnesiella,98.8,94.38
Barnesiella,19,GCF_963931395.1,Barnesiella sp. An22,False,Complete Genome,3443102,98.7,73.47,UMGS816,L1_strain,0,1,98.7,UMGS816,Barnesiella,98.7,73.47
Bifidobacterium,20,GCF_000196555.1,Bifidobacterium longum subsp. longum JCM 1217,True,Complete Genome,2385164,95.05,65.9,GCF_000020425,L1_strain,0,1,95.05,GCF_000020425,Bifidobacterium,95.05,65.9
Bifidobacterium,20,GCF_001042595.1,Bifidobacterium dentium JCM 1195 = DSM 20436,True,Complete Genome,2635669,99.97,99.91,GCF_000172135,L0_dup,0,0,99.97,GCF_000172135,Bifidobacterium,99.97,99.91
Bifidobacterium,20,GCF_001042635.1,Bifidobacterium scardovii JCM 12489 = DSM 13734,True,Complete Genome,3158347,,,,L2_far,0,1,,,,83.32,5.57
Bifidobacterium,20,GCF_014898155.1,Bifidobacterium eulemuris,True,Complete Genome,2920839,,,,L2_far,0,1,,,,82.21,0.91
Bifidobacterium,20,GCF_014898175.1,Bifidobacterium lemurum,True,Complete Genome,2965103,,,,L2_far,0,1,,,,82.57,3.75
Bifidobacterium,20,GCF_014898195.1,Bifidobacterium subtile,True,Complete Genome,2822354,,,,L2_far,0,1,,,,90.3,0.11
Bifidobacterium,20,GCF_041080795.1,Bifidobacterium aquikefiricola,True,Complete Genome,2359920,,,,L2_far,0,1,,,,96.59,0.38
Bifidobacterium,20,GCF_041080835.1,Bifidobacterium fermentum,True,Complete Genome,2470594,,,,L2_far,0,1,,,,95.93,0.18
Blastococcus,21,GCF_000284015.1,Blastococcus saxobsidens DD2,True,Complete Genome,4875340,,,,L2_far,0,1,,,,82.98,9.93
Blastococcus,21,GCF_023016265.1,Blastococcus sp. PRF04-17,False,Complete Genome,4585415,,,,L2_far,0,1,,,,82.79,10.17
Blastococcus,21,GCF_035320885.1,Blastococcus brunescens,True,Complete Genome,4901425,,,,L2_far,0,1,,,,82.96,10.06
Blastococcus,21,GCF_039679125.1,Blastococcus montanus,True,Complete Genome,4297415,,,,L2_far,0,1,,,,83.13,10.74
Blastococcus,21,GCF_039729015.1,Blastococcus sp. HT6-30,False,Complete Genome,3701696,,,,L2_far,0,1,,,,83.33,12.65
Blautia,22,GCF_001689125.2,Blautia pseudococcoides,True,Complete Genome,5128746,93.86,62.31,UMGS967,L2_species,0,1,93.86,UMGS967,Blautia,97.78,0.04
Blautia,22,GCF_010669205.1,Blautia producta ATCC 27340 = DSM 2950,True,Complete Genome,6197116,97.63,74.21,8080_1_72,L1_strain,0,1,97.63,8080_1_72,Blautia,98.98,0.06
Blautia,22,GCF_015159595.1,Blautia liquoris,True,Complete Genome,3518434,,,,L2_far,0,1,,,,98.98,0.03
Blautia,22,GCF_020215665.1,Blautia parvula,True,Complete Genome,6247046,98.93,79.03,20298_3_48,L1_strain,0,1,98.93,20298_3_48,Blautia,100.0,0.02
Blautia,22,GCF_025147765.1,Blautia obeum ATCC 29174,True,Complete Genome,3649956,98.67,77.57,18048_1_72,L1_strain,0,1,98.67,18048_1_72,Blautia,98.67,77.57
Blautia,22,GCF_025148125.1,Blautia wexlerae DSM 19850,True,Complete Genome,4685728,98.13,64.08,GCF_000159975,L1_strain,0,1,98.13,GCF_000159975,Blautia,98.97,0.12
Blautia,22,GCF_033096465.1,Blautia luti,True,Complete Genome,3741599,88.59,22.69,GCF_000159975,L2_species,0,1,88.59,GCF_000159975,Blautia,96.52,1.28
Blautia,22,GCF_034356035.1,Blautia hydrogenotrophica DSM 10507,True,Complete Genome,3597785,99.48,90.93,13414_6_41,L0_dup,0,0,99.48,13414_6_41,Blautia,99.48,90.93
Brachyspira,23,GCF_000092845.1,Brachyspira murdochii DSM 12563,True,Complete Genome,3241804,,,,L2_far,0,1,,,,82.98,0.22
Brachyspira,23,GCF_000143725.1,Brachyspira pilosicoli 95/1000,True,Complete Genome,2586443,,,,L2_far,0,1,,,,81.26,0.46
Brachyspira,23,GCF_000223215.1,Brachyspira intermedia PWS/A,True,Complete Genome,3308048,,,,L2_far,0,1,,,,80.28,0.37
Brachyspira,23,GCF_001676785.2,Brachyspira hyodysenteriae ATCC 27164,True,Complete Genome,3074045,,,,L2_far,0,1,,,,81.87,0.28
Brachyspira,23,GCF_002214805.1,Brachyspira hampsonii,True,Complete Genome,3189639,,,,L2_far,0,1,,,,79.24,0.79
Brevibacterium,24,GCF_003932995.1,Brevibacterium aurantiacum,True,Complete Genome,4038634,,,,L2_far,0,1,,,,80.36,0.53
Brevibacterium,24,GCF_011617245.1,Brevibacterium atlanticum,True,Complete Genome,4156794,,,,L2_far,0,1,,,,80.04,0.8
Brevibacterium,24,GCF_011617465.1,Brevibacterium pigmentatum,True,Complete Genome,3913130,,,,L2_far,0,1,,,,80.11,0.67
Brevibacterium,24,GCF_011617705.1,Brevibacterium limosum,True,Complete Genome,4253182,,,,L2_far,0,1,,,,79.82,0.67
Brevibacterium,24,GCF_016026595.1,Brevibacterium casei,True,Complete Genome,3866591,,,,L2_far,0,1,,,,81.95,0.85
Brevibacterium,24,GCF_017948325.1,Brevibacterium oceani,True,Complete Genome,4304299,,,,L2_far,0,1,,,,79.24,0.61
Brevibacterium,24,GCF_021117425.1,Brevibacterium zhoupengii,True,Complete Genome,4408116,,,,L2_far,0,1,,,,80.9,0.4
Brevibacterium,24,GCF_026168515.1,Brevibacterium spongiae,True,Complete Genome,4217721,,,,L2_far,0,1,,,,80.91,0.54
Butyricicoccus,25,GCF_051246315.1,Butyricicoccus porcorum,True,Complete Genome,2990647,,,,L2_far,0,1,,,,84.99,0.11
Butyricicoccus,25,GCF_056644235.1,Butyricicoccus intestinisimiae,True,Complete Genome,2538360,97.99,72.84,UMGS1328,L1_strain,0,1,97.99,UMGS1328,Butyricicoccus,97.99,72.84
Butyricimonas,26,GCF_003991565.1,Butyricimonas faecalis,True,Complete Genome,4976422,99.93,72.74,UMGS1130,L0_dup,0,0,99.93,UMGS1130,Butyricimonas,99.93,72.74
Butyricimonas,26,GCF_025148635.1,Butyricimonas virosa,True,Complete Genome,4813254,98.73,80.01,12718_7_37,L1_strain,0,1,98.73,12718_7_37,Butyricimonas,98.73,80.01
Butyricimonas,26,GCF_032878895.1,Butyricimonas faecihominis,True,Complete Genome,4851713,94.5,63.95,UMGS29,L2_species,0,1,94.5,UMGS29,Butyricimonas,94.5,63.95
Butyrivibrio,27,GCF_000145035.1,Butyrivibrio proteoclasticus B316,True,Complete Genome,4404886,,,,L2_far,0,1,,,,,
Butyrivibrio,27,GCF_001858005.1,Butyrivibrio hungatei,True,Complete Genome,3386314,,,,L2_far,0,1,,,,,
Butyrivibrio,27,GCF_037113525.1,Butyrivibrio fibrisolvens,True,Complete Genome,4934347,,,,L2_far,0,1,,,,,
Butyrivibrio,27,GCF_045999815.1,Butyrivibrio sp. NATIVEDY162,False,Complete Genome,4136620,,,,L2_far,0,1,,,,87.43,0.02
Campylobacter,28,GCF_001190745.1,Campylobacter gracilis,True,Complete Genome,2281652,94.01,73.36,UMGS142,L2_species,0,1,94.01,UMGS142,Campylobacter,98.35,0.13
Campylobacter,28,GCF_002104335.1,Campylobacter cuniculorum DSM 23162 = LMG 24588,True,Complete Genome,1937768,,,,L2_far,0,1,,,,94.59,0.16
Campylobacter,28,GCF_004803795.1,Campylobacter rectus,True,Complete Genome,2571679,,,,L2_far,0,1,,,,97.61,0.11
Campylobacter,28,GCF_004803815.1,Campylobacter showae,True,Complete Genome,2097887,,,,L2_far,0,1,,,,97.83,0.14
Campylobacter,28,GCF_013177655.1,Campylobacter canadensis,True,Complete Genome,1923009,,,,L2_far,0,1,,,,93.05,0.14
Campylobacter,28,GCF_013201685.1,Campylobacter geochelonis,True,Complete Genome,2167961,,,,L2_far,0,1,,,,98.24,0.14
Campylobacter,28,GCF_013201895.1,Campylobacter blaseri,True,Complete Genome,1891678,,,,L2_far,0,1,,,,98.61,0.16
Campylobacter,28,GCF_013372125.1,Campylobacter curvus,True,Complete Genome,1974918,,,,L2_far,0,1,,,,97.86,0.15
Catenibacterium,29,GCF_025148785.1,Catenibacterium mitsuokai,True,Complete Genome,2650196,94.27,63.11,UMGS15,L2_species,0,1,94.27,UMGS15,Catenibacterium,94.27,63.11
Catenibacterium,29,GCF_905186165.1,Catenibacterium sp. co_0103,False,Complete Genome,2528270,96.84,69.78,UMGS15,L1_strain,0,1,96.84,UMGS15,Catenibacterium,96.84,69.78
Cellulomonas,30,GCF_000092865.1,Cellulomonas flavigena DSM 20109,True,Complete Genome,4123179,,,,L2_far,0,1,,,,81.45,4.63
Cellulomonas,30,GCF_000212695.1,Cellulomonas fimi ATCC 484,True,Complete Genome,4266344,,,,L2_far,0,1,,,,82.3,6.69
Cellulomonas,30,GCF_018388445.1,Cellulomonas wangleii,True,Complete Genome,4076825,,,,L2_far,0,1,,,,81.51,4.28
Cellulomonas,30,GCF_018388465.1,Cellulomonas fengjieae,True,Complete Genome,3989908,,,,L2_far,0,1,,,,81.43,3.65
Cellulomonas,30,GCF_024508275.1,Cellulomonas wangsupingiae,True,Complete Genome,4118098,,,,L2_far,0,1,,,,81.74,4.15
