species_class,species_name,genus_class,genus_name,reference_type
810,UMGS177,14,Anaerotruncus,MAG
934,UMGS1974,14,Anaerotruncus,MAG
458,UMGS1189,15,Atopobium,MAG
835,UMGS1817,15,Atopobium,MAG
980,UMGS2041,15,Atopobium,MAG
627,UMGS148,16,Azospirillum,MAG
634,UMGS149,16,Azospirillum,MAG
1013,UMGS223,16,Azospirillum,MAG
1163,UMGS418,16,Azospirillum,MAG
1306,UMGS63,16,Azospirillum,MAG
1324,UMGS65,16,Azospirillum,MAG
10,12718_7_24,17,Bacillus,MAG
66,17138_5_75,17,Bacillus,MAG
129,21673_4_91,17,Bacillus,MAG
246,GCF_000238655,17,Bacillus,RefSeq assembly
259,GCF_000285535,17,Bacillus,RefSeq assembly
266,GCF_000311725,17,Bacillus,RefSeq assembly
276,GCF_000321185,17,Bacillus,RefSeq assembly
309,GCF_000612625,17,Bacillus,RefSeq assembly
312,GCF_000752035,17,Bacillus,RefSeq assembly
316,GCF_000821085,17,Bacillus,RefSeq assembly
328,GCF_001243895,17,Bacillus,RefSeq assembly
11,12718_7_29,18,Bacteroides,MAG
29,13414_6_24,18,Bacteroides,MAG
39,13470_2_62,18,Bacteroides,MAG
40,13470_2_64,18,Bacteroides,MAG
41,13470_2_65,18,Bacteroides,MAG
49,14207_6_13,18,Bacteroides,MAG
50,14207_6_9,18,Bacteroides,MAG
52,14207_7_23,18,Bacteroides,MAG
77,20287_6_53,18,Bacteroides,MAG
79,20287_6_9,18,Bacteroides,MAG
83,20298_2_23,18,Bacteroides,MAG
91,20298_2_7,18,Bacteroides,MAG
122,21673_4_46,18,Bacteroides,MAG
148,GCF_000154845,18,Bacteroides,RefSeq assembly
156,GCF_000155815,18,Bacteroides,RefSeq assembly
164,GCF_000157015,18,Bacteroides,RefSeq assembly
165,GCF_000157915,18,Bacteroides,RefSeq assembly
189,GCF_000159855,18,Bacteroides,RefSeq assembly
198,GCF_000162155,18,Bacteroides,RefSeq assembly
199,GCF_000162215,18,Bacteroides,RefSeq assembly
208,GCF_000169015,18,Bacteroides,RefSeq assembly
210,GCF_000172175,18,Bacteroides,RefSeq assembly
220,GCF_000187895,18,Bacteroides,RefSeq assembly
225,GCF_000195635,18,Bacteroides,RefSeq assembly
232,GCF_000218325,18,Bacteroides,RefSeq assembly
272,GCF_000315485,18,Bacteroides,RefSeq assembly
281,GCF_000381365,18,Bacteroides,RefSeq assembly
282,GCF_000382465,18,Bacteroides,RefSeq assembly
302,GCF_000499785,18,Bacteroides,RefSeq assembly
408,UMGS1093,18,Bacteroides,MAG
468,UMGS1205,18,Bacteroides,MAG
474,UMGS1213,18,Bacteroides,MAG
482,UMGS1236,18,Bacteroides,MAG
498,UMGS1265,18,Bacteroides,MAG
546,UMGS1352,18,Bacteroides,MAG
570,UMGS1399,18,Bacteroides,MAG
582,UMGS1416,18,Bacteroides,MAG
611,UMGS1450,18,Bacteroides,MAG
623,UMGS1473,18,Bacteroides,MAG
640,UMGS1504,18,Bacteroides,MAG
641,UMGS1505,18,Bacteroides,MAG
661,UMGS1534,18,Bacteroides,MAG
698,UMGS1595,18,Bacteroides,MAG
730,UMGS1646,18,Bacteroides,MAG
731,UMGS1647,18,Bacteroides,MAG
736,UMGS1654,18,Bacteroides,MAG
761,UMGS1697,18,Bacteroides,MAG
768,UMGS1710,18,Bacteroides,MAG
837,UMGS182,18,Bacteroides,MAG
855,UMGS1845,18,Bacteroides,MAG
868,UMGS1869,18,Bacteroides,MAG
890,UMGS1909,18,Bacteroides,MAG
923,UMGS1954,18,Bacteroides,MAG
937,UMGS1980,18,Bacteroides,MAG
958,UMGS2007,18,Bacteroides,MAG
981,UMGS2042,18,Bacteroides,MAG
1003,UMGS2075,18,Bacteroides,MAG
1007,UMGS212,18,Bacteroides,MAG
1009,UMGS218,18,Bacteroides,MAG
1010,UMGS219,18,Bacteroides,MAG
1040,UMGS277,18,Bacteroides,MAG
1047,UMGS288,18,Bacteroides,MAG
1090,UMGS328,18,Bacteroides,MAG
1092,UMGS331,18,Bacteroides,MAG
1111,UMGS355,18,Bacteroides,MAG
1168,UMGS422,18,Bacteroides,MAG
1239,UMGS523,18,Bacteroides,MAG
1248,UMGS540,18,Bacteroides,MAG
1256,UMGS552,18,Bacteroides,MAG
1300,UMGS622,18,Bacteroides,MAG
1302,UMGS624,18,Bacteroides,MAG
1307,UMGS630,18,Bacteroides,MAG
1351,UMGS698,18,Bacteroides,MAG
1443,UMGS845,18,Bacteroides,MAG
1460,UMGS871,18,Bacteroides,MAG
1477,UMGS901,18,Bacteroides,MAG
1493,UMGS933,18,Bacteroides,MAG
1512,UMGS963,18,Bacteroides,MAG
1521,UMGS980,18,Bacteroides,MAG
123,21673_4_5,19,Barnesiella,MAG
1014,UMGS227,19,Barnesiella,MAG
1428,UMGS816,19,Barnesiella,MAG
68,18048_1_93,20,Bifidobacterium,MAG
73,18391_1_7,20,Bifidobacterium,MAG
98,20298_3_2,20,Bifidobacterium,MAG
138,GCF_000020425,20,Bifidobacterium,RefSeq assembly
209,GCF_000172135,20,Bifidobacterium,RefSeq assembly
258,GCF_000273525,20,Bifidobacterium,RefSeq assembly
310,GCF_000741205,20,Bifidobacterium,RefSeq assembly
320,GCF_001025155,20,Bifidobacterium,RefSeq assembly
321,GCF_001025175,20,Bifidobacterium,RefSeq assembly
322,GCF_001025195,20,Bifidobacterium,RefSeq assembly
575,UMGS1405,20,Bifidobacterium,MAG
656,UMGS1527,20,Bifidobacterium,MAG
1289,UMGS603,20,Bifidobacterium,MAG
1379,UMGS74,20,Bifidobacterium,MAG
308,GCF_000582785,21,Blastococcus,RefSeq assembly
1,11861_6_58,22,Blautia,MAG
28,13414_6_20,22,Blautia,MAG
30,13414_6_32,22,Blautia,MAG
32,13414_6_41,22,Blautia,MAG
37,13414_6_66,22,Blautia,MAG
47,13470_2_81,22,Blautia,MAG
67,18048_1_72,22,Blautia,MAG
69,18048_2_67,22,Blautia,MAG
105,20298_3_35,22,Blautia,MAG
109,20298_3_48,22,Blautia,MAG
114,20298_3_81,22,Blautia,MAG
117,21673_4_19,22,Blautia,MAG
120,21673_4_38,22,Blautia,MAG
124,21673_4_53,22,Blautia,MAG
130,8080_1_72,22,Blautia,MAG
191,GCF_000159975,22,Blautia,RefSeq assembly
228,GCF_000209425,22,Blautia,RefSeq assembly
363,UMGS1010,22,Blautia,MAG
387,UMGS1061,22,Blautia,MAG
431,UMGS1138,22,Blautia,MAG
440,UMGS1156,22,Blautia,MAG
459,UMGS119,22,Blautia,MAG
550,UMGS1357,22,Blautia,MAG
551,UMGS1359,22,Blautia,MAG
557,UMGS1369,22,Blautia,MAG
581,UMGS1415,22,Blautia,MAG
584,UMGS1419,22,Blautia,MAG
593,UMGS143,22,Blautia,MAG
598,UMGS1434,22,Blautia,MAG
599,UMGS1436,22,Blautia,MAG
622,UMGS1472,22,Blautia,MAG
711,UMGS1622,22,Blautia,MAG
818,UMGS1786,22,Blautia,MAG
918,UMGS1944,22,Blautia,MAG
1005,UMGS2079,22,Blautia,MAG
1039,UMGS276,22,Blautia,MAG
1096,UMGS335,22,Blautia,MAG
1115,UMGS36,22,Blautia,MAG
1154,UMGS406,22,Blautia,MAG
1160,UMGS412,22,Blautia,MAG
1167,UMGS421,22,Blautia,MAG
1290,UMGS604,22,Blautia,MAG
1446,UMGS848,22,Blautia,MAG
1514,UMGS967,22,Blautia,MAG
1516,UMGS97,22,Blautia,MAG
1533,UMGS997,22,Blautia,MAG
1399,UMGS776,23,Brachyspira,MAG
261,GCF_000285835,24,Brevibacterium,RefSeq assembly
533,UMGS1328,25,Butyricicoccus,MAG
723,UMGS1639,25,Butyricicoccus,MAG
842,UMGS1825,25,Butyricicoccus,MAG
973,UMGS2030,25,Butyricicoccus,MAG
1109,UMGS351,25,Butyricicoccus,MAG
1345,UMGS682,25,Butyricicoccus,MAG
1510,UMGS961,25,Butyricicoccus,MAG
13,12718_7_37,26,Butyricimonas,MAG
346,GCF_900091675,26,Butyricimonas,RefSeq assembly
428,UMGS1130,26,Butyricimonas,MAG
884,UMGS1896,26,Butyricimonas,MAG
1049,UMGS29,26,Butyricimonas,MAG
1518,UMGS971,26,Butyricimonas,MAG
755,UMGS1687,27,Butyrivibrio,MAG
1151,UMGS4,27,Butyrivibrio,MAG
1488,UMGS920,27,Butyrivibrio,MAG
143,GCF_000146835,28,Campylobacter,RefSeq assembly
214,GCF_000185345,28,Campylobacter,RefSeq assembly
248,GCF_000238755,28,Campylobacter,RefSeq assembly
427,UMGS113,28,Campylobacter,MAG
585,UMGS142,28,Campylobacter,MAG
637,UMGS15,29,Catenibacterium,MAG
1034,UMGS269,29,Catenibacterium,MAG
1035,UMGS270,29,Catenibacterium,MAG
269,GCF_000312005,30,Cellulomonas,RefSeq assembly
96,20298_3_17,31,Citrobacter,MAG
108,20298_3_4,31,Citrobacter,MAG
247,GCF_000238735,31,Citrobacter,RefSeq assembly
1349,UMGS691,32,Cloacibacillus,MAG
1427,UMGS813,32,Cloacibacillus,MAG
0,11861_6_55,33,Clostridium,MAG
4,12718_7_10,33,Clostridium,MAG
14,12718_7_39,33,Clostridium,MAG
23,12718_7_9,33,Clostridium,MAG
24,12718_7_92,33,Clostridium,MAG
31,13414_6_34,33,Clostridium,MAG
38,13414_6_73,33,Clostridium,MAG
44,13470_2_75,33,Clostridium,MAG
45,13470_2_77,33,Clostridium,MAG
46,13470_2_78,33,Clostridium,MAG
53,14207_7_27,33,Clostridium,MAG
54,14207_7_30,33,Clostridium,MAG
58,14207_7_75,33,Clostridium,MAG
63,15841_8_64,33,Clostridium,MAG
70,18048_2_85,33,Clostridium,MAG
86,20298_2_47,33,Clostridium,MAG
88,20298_2_5,33,Clostridium,MAG
102,20298_3_26,33,Clostridium,MAG
110,20298_3_52,33,Clostridium,MAG
111,20298_3_62,33,Clostridium,MAG
125,21673_4_71,33,Clostridium,MAG
126,21673_4_77,33,Clostridium,MAG
127,21673_4_80,33,Clostridium,MAG
131,8080_1_73,33,Clostridium,MAG
132,8080_1_77,33,Clostridium,MAG
133,8080_1_78,33,Clostridium,MAG
135,8080_1_81,33,Clostridium,MAG
136,8080_1_83,33,Clostridium,MAG
151,GCF_000155085,33,Clostridium,RefSeq assembly
153,GCF_000155435,33,Clostridium,RefSeq assembly
169,GCF_000158075,33,Clostridium,RefSeq assembly
176,GCF_000158375,33,Clostridium,RefSeq assembly
181,GCF_000159055,33,Clostridium,RefSeq assembly
221,GCF_000189615,33,Clostridium,RefSeq assembly
240,GCF_000233455,33,Clostridium,RefSeq assembly
243,GCF_000234155,33,Clostridium,RefSeq assembly
244,GCF_000235505,33,Clostridium,RefSeq assembly
260,GCF_000285575,33,Clostridium,RefSeq assembly
273,GCF_000320405,33,Clostridium,RefSeq assembly
301,GCF_000499525,33,Clostridium,RefSeq assembly
311,GCF_000751675,33,Clostridium,RefSeq assembly
313,GCF_000753355,33,Clostridium,RefSeq assembly
314,GCF_000820705,33,Clostridium,RefSeq assembly
324,GCF_001078425,33,Clostridium,RefSeq assembly
327,GCF_001243045,33,Clostridium,RefSeq assembly
330,GCF_001403635,33,Clostridium,RefSeq assembly
339,GCF_001517625,33,Clostridium,RefSeq assembly
347,GCF_900091705,33,Clostridium,RefSeq assembly
359,UMGS1006,33,Clostridium,MAG
362,UMGS101,33,Clostridium,MAG
365,UMGS1015,33,Clostridium,MAG
372,UMGS1027,33,Clostridium,MAG
404,UMGS1088,33,Clostridium,MAG
449,UMGS1169,33,Clostridium,MAG
483,UMGS1238,33,Clostridium,MAG
487,UMGS1244,33,Clostridium,MAG
488,UMGS125,33,Clostridium,MAG
508,UMGS128,33,Clostridium,MAG
513,UMGS1287,33,Clostridium,MAG
514,UMGS1288,33,Clostridium,MAG
515,UMGS129,33,Clostridium,MAG
521,UMGS1306,33,Clostridium,MAG
526,UMGS1314,33,Clostridium,MAG
549,UMGS1356,33,Clostridium,MAG
558,UMGS1370,33,Clostridium,MAG
560,UMGS1373,33,Clostridium,MAG
563,UMGS138,33,Clostridium,MAG
576,UMGS1406,33,Clostridium,MAG
588,UMGS1423,33,Clostridium,MAG
590,UMGS1425,33,Clostridium,MAG
601,UMGS1438,33,Clostridium,MAG
604,UMGS1440,33,Clostridium,MAG
625,UMGS1476,33,Clostridium,MAG
645,UMGS1510,33,Clostridium,MAG
648,UMGS1516,33,Clostridium,MAG
649,UMGS152,33,Clostridium,MAG
659,UMGS1531,33,Clostridium,MAG
662,UMGS1537,33,Clostridium,MAG
666,UMGS1543,33,Clostridium,MAG
674,UMGS1553,33,Clostridium,MAG
682,UMGS1563,33,Clostridium,MAG
686,UMGS1570,33,Clostridium,MAG
687,UMGS1576,33,Clostridium,MAG
689,UMGS158,33,Clostridium,MAG
697,UMGS1594,33,Clostridium,MAG
703,UMGS1604,33,Clostridium,MAG
706,UMGS1609,33,Clostridium,MAG
707,UMGS1612,33,Clostridium,MAG
708,UMGS1616,33,Clostridium,MAG
709,UMGS1619,33,Clostridium,MAG
713,UMGS1625,33,Clostridium,MAG
717,UMGS1630,33,Clostridium,MAG
725,UMGS1640,33,Clostridium,MAG
727,UMGS1642,33,Clostridium,MAG
732,UMGS1649,33,Clostridium,MAG
733,UMGS1650,33,Clostridium,MAG
734,UMGS1652,33,Clostridium,MAG
739,UMGS1660,33,Clostridium,MAG
741,UMGS1663,33,Clostridium,MAG
742,UMGS1666,33,Clostridium,MAG
744,UMGS1669,33,Clostridium,MAG
745,UMGS1672,33,Clostridium,MAG
746,UMGS1673,33,Clostridium,MAG
748,UMGS1675,33,Clostridium,MAG
749,UMGS1677,33,Clostridium,MAG
752,UMGS1681,33,Clostridium,MAG
756,UMGS1689,33,Clostridium,MAG
757,UMGS169,33,Clostridium,MAG
762,UMGS1699,33,Clostridium,MAG
763,UMGS17,33,Clostridium,MAG
766,UMGS1705,33,Clostridium,MAG
769,UMGS1711,33,Clostridium,MAG
785,UMGS1734,33,Clostridium,MAG
788,UMGS1740,33,Clostridium,MAG
798,UMGS1754,33,Clostridium,MAG
803,UMGS1761,33,Clostridium,MAG
815,UMGS1781,33,Clostridium,MAG
816,UMGS1782,33,Clostridium,MAG
817,UMGS1784,33,Clostridium,MAG
820,UMGS1788,33,Clostridium,MAG
823,UMGS1795,33,Clostridium,MAG
824,UMGS1796,33,Clostridium,MAG
830,UMGS1808,33,Clostridium,MAG
853,UMGS1843,33,Clostridium,MAG
859,UMGS1851,33,Clostridium,MAG
860,UMGS1852,33,Clostridium,MAG
867,UMGS1864,33,Clostridium,MAG
873,UMGS1875,33,Clostridium,MAG
875,UMGS188,33,Clostridium,MAG
877,UMGS1884,33,Clostridium,MAG
885,UMGS1897,33,Clostridium,MAG
887,UMGS1901,33,Clostridium,MAG
894,UMGS1914,33,Clostridium,MAG
895,UMGS1917,33,Clostridium,MAG
902,UMGS1923,33,Clostridium,MAG
903,UMGS1925,33,Clostridium,MAG
908,UMGS1933,33,Clostridium,MAG
929,UMGS1968,33,Clostridium,MAG
939,UMGS1983,33,Clostridium,MAG
943,UMGS1988,33,Clostridium,MAG
946,UMGS1992,33,Clostridium,MAG
947,UMGS1994,33,Clostridium,MAG
948,UMGS1995,33,Clostridium,MAG
962,UMGS2011,33,Clostridium,MAG
963,UMGS2014,33,Clostridium,MAG
964,UMGS2019,33,Clostridium,MAG
991,UMGS2053,33,Clostridium,MAG
992,UMGS2056,33,Clostridium,MAG
1012,UMGS222,33,Clostridium,MAG
1015,UMGS228,33,Clostridium,MAG
1016,UMGS229,33,Clostridium,MAG
1020,UMGS240,33,Clostridium,MAG
1024,UMGS249,33,Clostridium,MAG
1038,UMGS275,33,Clostridium,MAG
1097,UMGS337,33,Clostridium,MAG
1100,UMGS34,33,Clostridium,MAG
1102,UMGS341,33,Clostridium,MAG
1108,UMGS35,33,Clostridium,MAG
1110,UMGS353,33,Clostridium,MAG
1166,UMGS420,33,Clostridium,MAG
1179,UMGS438,33,Clostridium,MAG
1192,UMGS453,33,Clostridium,MAG
1237,UMGS52,33,Clostridium,MAG
1243,UMGS53,33,Clostridium,MAG
1250,UMGS542,33,Clostridium,MAG
1255,UMGS55,33,Clostridium,MAG
1258,UMGS558,33,Clostridium,MAG
1272,UMGS578,33,Clostridium,MAG
1283,UMGS593,33,Clostridium,MAG
1287,UMGS600,33,Clostridium,MAG
1295,UMGS615,33,Clostridium,MAG
1299,UMGS620,33,Clostridium,MAG
1309,UMGS632,33,Clostridium,MAG
1344,UMGS681,33,Clostridium,MAG
1352,UMGS699,33,Clostridium,MAG
1371,UMGS725,33,Clostridium,MAG
1374,UMGS73,33,Clostridium,MAG
1406,UMGS786,33,Clostridium,MAG
1410,UMGS79,33,Clostridium,MAG
1416,UMGS797,33,Clostridium,MAG
1419,UMGS80,33,Clostridium,MAG
1421,UMGS803,33,Clostridium,MAG
1431,UMGS82,33,Clostridium,MAG
1436,UMGS826,33,Clostridium,MAG
1447,UMGS849,33,Clostridium,MAG
1456,UMGS866,33,Clostridium,MAG
1464,UMGS88,33,Clostridium,MAG
1501,UMGS944,33,Clostridium,MAG
1502,UMGS945,33,Clostridium,MAG
1509,UMGS960,33,Clostridium,MAG
1529,UMGS990,33,Clostridium,MAG
159,GCF_000156175,34,Collinsella,RefSeq assembly
160,GCF_000156215,34,Collinsella,RefSeq assembly
236,GCF_000225705,34,Collinsella,RefSeq assembly
361,UMGS1009,34,Collinsella,MAG
364,UMGS1013,34,Collinsella,MAG
369,UMGS1022,34,Collinsella,MAG
370,UMGS1023,34,Collinsella,MAG
371,UMGS1026,34,Collinsella,MAG
375,UMGS1030,34,Collinsella,MAG
376,UMGS1031,34,Collinsella,MAG
379,UMGS104,34,Collinsella,MAG
381,UMGS1047,34,Collinsella,MAG
396,UMGS1074,34,Collinsella,MAG
397,UMGS1075,34,Collinsella,MAG
398,UMGS1077,34,Collinsella,MAG
400,UMGS1082,34,Collinsella,MAG
401,UMGS1083,34,Collinsella,MAG
403,UMGS1086,34,Collinsella,MAG
405,UMGS1089,34,Collinsella,MAG
409,UMGS1094,34,Collinsella,MAG
410,UMGS1095,34,Collinsella,MAG
413,UMGS1100,34,Collinsella,MAG
417,UMGS1112,34,Collinsella,MAG
419,UMGS1117,34,Collinsella,MAG
429,UMGS1131,34,Collinsella,MAG
432,UMGS1139,34,Collinsella,MAG
436,UMGS1146,34,Collinsella,MAG
437,UMGS1152,34,Collinsella,MAG
438,UMGS1154,34,Collinsella,MAG
442,UMGS1160,34,Collinsella,MAG
443,UMGS1161,34,Collinsella,MAG
446,UMGS1165,34,Collinsella,MAG
447,UMGS1166,34,Collinsella,MAG
451,UMGS1173,34,Collinsella,MAG
452,UMGS1174,34,Collinsella,MAG
455,UMGS1183,34,Collinsella,MAG
456,UMGS1184,34,Collinsella,MAG
457,UMGS1186,34,Collinsella,MAG
460,UMGS1190,34,Collinsella,MAG
465,UMGS1200,34,Collinsella,MAG
467,UMGS1203,34,Collinsella,MAG
469,UMGS1207,34,Collinsella,MAG
471,UMGS1209,34,Collinsella,MAG
475,UMGS1219,34,Collinsella,MAG
477,UMGS1220,34,Collinsella,MAG
485,UMGS1242,34,Collinsella,MAG
490,UMGS1252,34,Collinsella,MAG
497,UMGS1262,34,Collinsella,MAG
502,UMGS1270,34,Collinsella,MAG
504,UMGS1274,34,Collinsella,MAG
506,UMGS1277,34,Collinsella,MAG
507,UMGS1278,34,Collinsella,MAG
510,UMGS1282,34,Collinsella,MAG
520,UMGS1300,34,Collinsella,MAG
523,UMGS1309,34,Collinsella,MAG
527,UMGS1319,34,Collinsella,MAG
529,UMGS1321,34,Collinsella,MAG
536,UMGS1333,34,Collinsella,MAG
538,UMGS1336,34,Collinsella,MAG
539,UMGS1339,34,Collinsella,MAG
541,UMGS1341,34,Collinsella,MAG
544,UMGS1349,34,Collinsella,MAG
547,UMGS1354,34,Collinsella,MAG
561,UMGS1376,34,Collinsella,MAG
562,UMGS1378,34,Collinsella,MAG
564,UMGS1380,34,Collinsella,MAG
567,UMGS1386,34,Collinsella,MAG
572,UMGS1401,34,Collinsella,MAG
577,UMGS1409,34,Collinsella,MAG
583,UMGS1417,34,Collinsella,MAG
586,UMGS1420,34,Collinsella,MAG
587,UMGS1421,34,Collinsella,MAG
589,UMGS1424,34,Collinsella,MAG
596,UMGS1432,34,Collinsella,MAG
602,UMGS1439,34,Collinsella,MAG
606,UMGS1442,34,Collinsella,MAG
608,UMGS1444,34,Collinsella,MAG
617,UMGS1465,34,Collinsella,MAG
624,UMGS1475,34,Collinsella,MAG
628,UMGS1480,34,Collinsella,MAG
630,UMGS1482,34,Collinsella,MAG
631,UMGS1483,34,Collinsella,MAG
633,UMGS1489,34,Collinsella,MAG
635,UMGS1497,34,Collinsella,MAG
636,UMGS1499,34,Collinsella,MAG
639,UMGS1501,34,Collinsella,MAG
643,UMGS1508,34,Collinsella,MAG
658,UMGS1530,34,Collinsella,MAG
665,UMGS1542,34,Collinsella,MAG
667,UMGS1545,34,Collinsella,MAG
668,UMGS1546,34,Collinsella,MAG
671,UMGS1549,34,Collinsella,MAG
676,UMGS1558,34,Collinsella,MAG
683,UMGS1565,34,Collinsella,MAG
684,UMGS1567,34,Collinsella,MAG
694,UMGS1586,34,Collinsella,MAG
696,UMGS1589,34,Collinsella,MAG
699,UMGS1597,34,Collinsella,MAG
704,UMGS1606,34,Collinsella,MAG
705,UMGS1608,34,Collinsella,MAG
714,UMGS1627,34,Collinsella,MAG
718,UMGS1631,34,Collinsella,MAG
722,UMGS1638,34,Collinsella,MAG
724,UMGS164,34,Collinsella,MAG
743,UMGS1667,34,Collinsella,MAG
751,UMGS1680,34,Collinsella,MAG
753,UMGS1683,34,Collinsella,MAG
760,UMGS1695,34,Collinsella,MAG
765,UMGS1701,34,Collinsella,MAG
767,UMGS1706,34,Collinsella,MAG
775,UMGS1720,34,Collinsella,MAG
776,UMGS1721,34,Collinsella,MAG
777,UMGS1724,34,Collinsella,MAG
778,UMGS1726,34,Collinsella,MAG
780,UMGS1729,34,Collinsella,MAG
783,UMGS1732,34,Collinsella,MAG
790,UMGS1742,34,Collinsella,MAG
791,UMGS1743,34,Collinsella,MAG
793,UMGS1747,34,Collinsella,MAG
799,UMGS1755,34,Collinsella,MAG
805,UMGS1763,34,Collinsella,MAG
808,UMGS1767,34,Collinsella,MAG
813,UMGS1779,34,Collinsella,MAG
821,UMGS1790,34,Collinsella,MAG
826,UMGS1800,34,Collinsella,MAG
834,UMGS1816,34,Collinsella,MAG
846,UMGS1834,34,Collinsella,MAG
847,UMGS1835,34,Collinsella,MAG
848,UMGS1836,34,Collinsella,MAG
851,UMGS1841,34,Collinsella,MAG
852,UMGS1842,34,Collinsella,MAG
861,UMGS1853,34,Collinsella,MAG
866,UMGS1862,34,Collinsella,MAG
871,UMGS1873,34,Collinsella,MAG
872,UMGS1874,34,Collinsella,MAG
874,UMGS1879,34,Collinsella,MAG
889,UMGS1905,34,Collinsella,MAG
891,UMGS1910,34,Collinsella,MAG
893,UMGS1913,34,Collinsella,MAG
897,UMGS1919,34,Collinsella,MAG
899,UMGS1920,34,Collinsella,MAG
900,UMGS1921,34,Collinsella,MAG
905,UMGS1928,34,Collinsella,MAG
910,UMGS1935,34,Collinsella,MAG
911,UMGS1936,34,Collinsella,MAG
912,UMGS1937,34,Collinsella,MAG
917,UMGS1943,34,Collinsella,MAG
921,UMGS1949,34,Collinsella,MAG
928,UMGS1967,34,Collinsella,MAG
